marca,nome,preco_antigo_reais,preco_antigo_centavos,preco_novo_reais,preco_novo_centavos,quantidade_reviews,numero_reviews
MIZUNO,Tênis De Corrida Mizuno Hawk 6 Masculino - Marinho,384,99,55,,,
FILA,Tênis Fila Progress Efecto Masculino Esportivo Original,310,50,294,08,,
MIZUNO,Tênis De Corrida Mizuno Hawk 6 Masculino - Marinho,384,99,55,,,
SKECHERS,Tênis Maculino Go Run Consitent 2.0 220865br Skechers,399,99,57,14,,
NIKE,Tênis Nike Revolution 7 Masculino,399,99,279,99,4.9,(48)
MIZUNO,Tênis De Corrida Masculino Mizuno Space 5,389,99,55,71,,
NIKE,Nike Court Vision Low Next Nature Masculino Adultos,599,99,479,99,4.6,(247)
SKECHERS,Tênis Esportivo Masculino Go Run Consistent 2.0 Skechers,476,18,52,91,,
OLYMPIKUS,Tênis Olympikus Rua + Olympikus Gym Sack - Original,249,99,41,66,,
OLYMPIKUS,Tênis Running Masculino Olympikus Wellness 2 Preto,308,70,51,45,,
OLYMPIKUS,Tênis Running Masculino Olympikus Index 3,234,58,39,10,,
FILA,Tênis Fila Progress Efecto Masculino Esportivo Original,310,50,294,80,,
FILA,Tênis Fila Racer Comet Leve Caminhada E Corrida Masculino,349,99,34,22,,
,Tênis Corrida Lançamento Sport Casual Preto,111,31,94,61,,
NEW BALANCE,Tenis Masculino New Balance 680 V8 Corrida Profissional,502,46,48,,,
OLYMPIKUS,Tênis Running Masculino Olympikus Index 3,234,58,39,10,,
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção.,99,20,79,60,,
NEW BALANCE,Tênis New Balance 574v2 Cinza E Branco,599,90,59,99,,
LORENZZO LOPEZ,Kit 3 Tênis Masculino Veloster Leve Academia Corrida,229,90,38,32,,
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,79,20,62,56,,
,Tênis Masculino Esportivo Caminhada Corrida Passeio Conforto,79,41,62,20,,
,Tênis Masculino Esportivo Academia Corrida Anti Impacto Leve,78,62,61,81,,
FILA,Tênis Fila Masculino Racer Comet Cano Baixo Leve Resistente ,349,99,34,22,,
FILA,Tênis Fila Efecto Masculino,249,55,236,43,,
OLYMPIKUS,Tênis Running Masculino Olympikus Index 3,234,58,39,10,,
RAYON,Tênis Masculino Casual Original Sneaker,99,90,69,93,,
LORENZZO LOPEZ,Kit Tênis Treino Esportivo Óculos Relógio Digital Corrida,94,90,31,63,,
MIZUNO,Tenis Mizuno Mirai 6 - Original - Corrida + Nota Fiscal,499,90,349,93,,
,Tenis Masculino Polo Wind Xtreme Fast Academia Corrida Cross,159,87,139,08,,
OLYMPIKUS,Tênis Masculino Olympikus Fluir Academia Treino Original,232,98,38,83,,
MIZUNO,Tenis Mizuno Mirai 6 - Corrida - Original + Nota Fiscal,499,90,349,93,,
OLYMPIKUS,Tênis Esportivo Olympikus Fluir Corrida Evasense Original,229,98,38,33,,
FILA,Tênis Fila Progress Efecto Masculino Esportivo Original,310,50,294,08,,
RAYON,Tênis Masculino Casual Original Costurado,109,90,79,12,,
STREET WALKER,Tênis Masculino Jogging Sapatênis Casual Confortável Corrida,159,90,31,98,,
,Tênis Genérica 997s Masculino Padrão Preço De Promoção,169,99,16,66,,
OLYMPIKUS,Tênis Olympikus Macio Volta As Aulas Corrida Escola Marte,229,99,188,59,,
STREET WALKER,Tênis Masculino Jogging Sapatênis Casual Confortável Corrida,159,90,15,68,,
FILA,Tênis Fila Racer Comet Masculino Corridas De Rua Treino,349,99,34,22,,
FILA,Tênis Fila Kr6 Frame Preto Masculino,499,90,55,54,,
,Tênis Ortopèdico Feminino Caminhada Corrida Treino Academia,132,99,126,34,,
OLYMPIKUS,Tênis Olympikus Cyber 4 Masculino Corrida Treino Academia,279,80,229,43,,
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção!,94,90,80,66,,
ASICS,Tênis Asics Noosa Tri 14 Miami,689,90,68,99,,
MIZUNO,Tênis Mizuno Creation 20 Wave Oferta Caminhada Numero 44 45,397,97,135,30,,
ASICS,Tênis  Asics Masculino Jolt Confortável  Original Academia,399,90,57,13,,
STREET WALKER,Tênis Masculino Jogging Sapatênis Casual Confortável Corrida,78,81,7,73,,
STREET WALKER,Tênis Masculino Jogging Sapatênis Casual Confortável Corrida,78,81,39,40,,
OLYMPIKUS,Tênis Olympikus Fluir Leve Macio Evasense Confortável Lindo,234,98,39,16,,
